Topic ID,Name,Size,Percentage,Top Words and Phrases,Example Documents,Explanation,Most Similar Topic
10,10_beach_huntington beach_huntington_beach ca,95,0.07%,"beach, huntington beach, huntington, beach ca, huntington beach ca, oil, ca, spill, oil spill, beach ca usa",message sent subject first alert digest alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafafbeguillermo r first alert dataminr even...; message sent subject first alert digest alertdataminrcom pm riredactedirlefft j voexchangelabsouexchange administrative group first alert dataminr evening digest february alert redacted r l caution em...; message sent subject first alert digest alertdataminrcom pm ennis ralph mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbaedefaaadfccdralph ennis first alert dataminr eveni...,"This topic appears to be about 10_beach_huntington beach_huntington_beach ca. The documents in this topic are grouped together because they frequently contain words and phrases like beach, huntington beach, huntington, beach ca, huntington beach ca. These terms suggest a common theme or subject matter across the documents.",Topic 10: 10_beach_huntington beach_huntington_beach ca
11,11_france_paris_paris france_de,94,0.07%,"france, paris, paris france, de, france local, bastille, du, coronavirus health pas, health pas, coronavirus health",message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalsofbeguillermo rj demonstrator reportedl...; message sent subject first alert flash alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft police officer possibly inj...; message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj several injured man ram ...,"This topic appears to be about 11_france_paris_paris france_de. The documents in this topic are grouped together because they frequently contain words and phrases like france, paris, paris france, de, france local. These terms suggest a common theme or subject matter across the documents.",Topic 11: 11_france_paris_paris france_de
12,12_nigeria_niger_nigeria local_abuja,92,0.07%,"nigeria, niger, nigeria local, abuja, state nigeria, nigeria local source, kano, nigerian, tera, niger local",message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafafbeguillermo r train carrying passenger f...; message sent subject first alert flash alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj multiple people killed inju...; message sent subject first alert flash alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsfbeguillermo rj update militant threate...,"This topic appears to be about 12_nigeria_niger_nigeria local_abuja. The documents in this topic are grouped together because they frequently contain words and phrases like nigeria, niger, nigeria local, abuja, state nigeria. These terms suggest a common theme or subject matter across the documents.",Topic 12: 12_nigeria_niger_nigeria local_abuja
13,13_lax_lax airport_lax airport california_airport california,86,0.06%,"lax, lax airport, lax airport california, airport california, airport, terminal, california, angeles, los angeles, los",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft suspicious ite...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj possibly suspi...; message sent subject first alert urgent update alertdataminrcom pm montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn monj possibly suspicious...,"This topic appears to be about 13_lax_lax airport_lax airport california_airport california. The documents in this topic are grouped together because they frequently contain words and phrases like lax, lax airport, lax airport california, airport california, airport. These terms suggest a common theme or subject matter across the documents.",Topic 13: 13_lax_lax airport_lax airport california_airport california
14,14_anthem_anthem washington_anthem washington dc_louis tomlinson,86,0.06%,"anthem, anthem washington, anthem washington dc, louis tomlinson, louis, concert, tomlinson, louis tomlinson concert, tomlinson concert, concert anthem",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj university louis...; message sent subject first alert digest alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj first alert dataminr...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft bomb threat pr...,"This topic appears to be about 14_anthem_anthem washington_anthem washington dc_louis tomlinson. The documents in this topic are grouped together because they frequently contain words and phrases like anthem, anthem washington, anthem washington dc, louis tomlinson, louis. These terms suggest a common theme or subject matter across the documents.",Topic 14: 14_anthem_anthem washington_anthem washington dc_louis tomlinson
15,15_marjorie_marjorie taylor_marjorie taylor greene_taylor greene,80,0.06%,"marjorie, marjorie taylor, marjorie taylor greene, taylor greene, greene, taylor, representative marjorie, representative marjorie taylor, greene say, taylor greene say",message sent subject first alert alert alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft individual address u repres...; message sent subject first alert digest alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj first alert dataminr e...; message sent subject first alert alert alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft individual responds republi...,"This topic appears to be about 15_marjorie_marjorie taylor_marjorie taylor greene_taylor greene. The documents in this topic are grouped together because they frequently contain words and phrases like marjorie, marjorie taylor, marjorie taylor greene, taylor greene, greene. These terms suggest a common theme or subject matter across the documents.",Topic 15: 15_marjorie_marjorie taylor_marjorie taylor greene_taylor greene
16,16_colleyville_colleyville tx_hostage_beth israel,80,0.06%,"colleyville, colleyville tx, hostage, beth israel, beth, synagogue, congregation, congregation beth, congregation beth israel, tx",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft suspect report...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft suspect reported...; message sent subject first alert digest alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafafbeguillermo r first alert dataminr even...,"This topic appears to be about 16_colleyville_colleyville tx_hostage_beth israel. The documents in this topic are grouped together because they frequently contain words and phrases like colleyville, colleyville tx, hostage, beth israel, beth. These terms suggest a common theme or subject matter across the documents.",Topic 16: 16_colleyville_colleyville tx_hostage_beth israel
17,17_georgia_trump_raffensperger_state,76,0.06%,"georgia, trump, raffensperger, state, georgia secretary state, georgia secretary, secretary state raffensperger, state raffensperger, election, president trump",message sent subject first alert urgent update alertdataminrcom pm carolynmontagnadcgov vodc governmentouexternal fydibohfspdltcnrecipientscncdedefddseb u senate candidate warnock say senator loeffler...; message sent subject first alert urgent alertdataminrcom carolynmontagnadcgov odc governmentouexternal fydibohfspdltcnrecipientscncdedefddeb former u president trump discussed plan doj official jeffre...; message sent subject first alert urgent update alertdataminrcom pm carolynmontagnadcgov vodc governmentouexternal fydibohfspdltcnrecipientscncdedefddseb source reportedly confirms call u president tru...,"This topic appears to be about 17_georgia_trump_raffensperger_state. The documents in this topic are grouped together because they frequently contain words and phrases like georgia, trump, raffensperger, state, georgia secretary state. These terms suggest a common theme or subject matter across the documents.",Topic 17: 17_georgia_trump_raffensperger_state
18,18_atlanta_hartsfieldjackson_atlanta airport_hartsfieldjackson atlanta,71,0.05%,"atlanta, hartsfieldjackson, atlanta airport, hartsfieldjackson atlanta, atlanta airport georgia, airport georgia, hartsfieldjackson atlanta airport, airport, airport georgia local, georgia local",message sent subject first alert digest alertdataminrcomj rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj first alert dataminr morn...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft evacuation tsa c...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft suspicious packa...,"This topic appears to be about 18_atlanta_hartsfieldjackson_atlanta airport_hartsfieldjackson atlanta. The documents in this topic are grouped together because they frequently contain words and phrases like atlanta, hartsfieldjackson, atlanta airport, hartsfieldjackson atlanta, atlanta airport georgia. These terms suggest a common theme or subject matter across the documents.",Topic 18: 18_atlanta_hartsfieldjackson_atlanta airport_hartsfieldjackson atlanta
19,19_abortion_texas_texas abortion_abortion law,67,0.05%,"abortion, texas, texas abortion, abortion law, sb, abortion ban, court, texas abortion law, doj, ban",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsfbeguillermo rj u supreme court denie...; message sent subject first alert urgent alertdataminrcomj pm lligiiiiiailiie voexchangelabsouexchange administrative group u supreme court denies petition provider requesting texas sixweek abortion ba...; message sent subject first alert urgent alertdataminrcomj pm oexchangelabsouexchange administrative group u supreme court denies petition provider requesting texas sixweek abortion ban case transferre...,"This topic appears to be about 19_abortion_texas_texas abortion_abortion law. The documents in this topic are grouped together because they frequently contain words and phrases like abortion, texas, texas abortion, abortion law, sb. These terms suggest a common theme or subject matter across the documents.",Topic 19: 19_abortion_texas_texas abortion_abortion law
20,20_myanmar_yangon_burma_myanmar burma,59,0.04%,"myanmar, yangon, burma, myanmar burma, myanmar local, yangon myanmar, myanmar military, myanmar local news, township, military",message sent subject first alert flash alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft largescale power outage rep...; message sent subject first alert flash alertdataminrcom lirrafteqjliff oexchangelabsouexchange administrative group l largescale power outage reported across taiwan including district taipei new taipe...; message sent subject first alert flash alertdataminrcom tiredactecnbacrein oexchangelabsouexchange administrative group largescale power outage reported across taiwan including district taipei new tai...,"This topic appears to be about 20_myanmar_yangon_burma_myanmar burma. The documents in this topic are grouped together because they frequently contain words and phrases like myanmar, yangon, burma, myanmar burma, myanmar local. These terms suggest a common theme or subject matter across the documents.",Topic 20: 20_myanmar_yangon_burma_myanmar burma
21,21_trudeau_minister trudeau_prime minister trudeau_canadian prime minister,58,0.04%,"trudeau, minister trudeau, prime minister trudeau, canadian prime minister, canadian prime, canadian, prime minister, prime, minister, minister trudeau say",message sent subject first alert alert alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft individual address canadi...; message sent subject first alert alert alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft individual responding video...; message sent subject first alert alert alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft individual responds post ca...,"This topic appears to be about 21_trudeau_minister trudeau_prime minister trudeau_canadian prime minister. The documents in this topic are grouped together because they frequently contain words and phrases like trudeau, minister trudeau, prime minister trudeau, canadian prime minister, canadian prime. These terms suggest a common theme or subject matter across the documents.",Topic 21: 21_trudeau_minister trudeau_prime minister trudeau_canadian prime minister
22,22_greene_representative greene_taylor greene_marjorie,58,0.04%,"greene, representative greene, taylor greene, marjorie, marjorie taylor, marjorie taylor greene, taylor, representative, taylor greene official, greene official post",message sent subject first alert digest alertdataminrcomj rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo rj first alert dataminr morn...; message sent subject first alert urgent ealertdataminrcomj rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcaclafalsofbeguillermo ft u representative gree...; message sent subject first alert urgent alertdataminrcomj pm montagna carolyn mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbddcbfebcarolyn monj former u president trump ...,"This topic appears to be about 22_greene_representative greene_taylor greene_marjorie. The documents in this topic are grouped together because they frequently contain words and phrases like greene, representative greene, taylor greene, marjorie, marjorie taylor. These terms suggest a common theme or subject matter across the documents.",Topic 22: 22_greene_representative greene_taylor greene_marjorie
23,23_red hill_red_navy_hi,57,0.04%,"red hill, red, navy, hi, water, honolulu, fuel, facility, hawaii, storage",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u dod permanently clos...; message sent subject first alert urgent alertdataminrcomj rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft u fda issue warning mul...; message sent subject first alert digest alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj first alert dataminr...,"This topic appears to be about 23_red hill_red_navy_hi. The documents in this topic are grouped together because they frequently contain words and phrases like red hill, red, navy, hi, water. These terms suggest a common theme or subject matter across the documents.",Topic 23: 23_red hill_red_navy_hi
24,24_formula_baby formula_baby_infant,56,0.04%,"formula, baby formula, baby, infant, infant formula, shortage, fda, accelerate, may, oriana",message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalfbeguillermo ft danone increase bab...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj u president bi...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft u president bide...,"This topic appears to be about 24_formula_baby formula_baby_infant. The documents in this topic are grouped together because they frequently contain words and phrases like formula, baby formula, baby, infant, infant formula. These terms suggest a common theme or subject matter across the documents.",Topic 170: 170_formula_abbott_shortage_formula shortage
25,25_walmart_clinton md_branch_clinton,51,0.04%,"walmart, clinton md, branch, clinton, branch avenue clinton, avenue clinton, avenue clinton md, walmart store, branch avenue, block branch",message sent subject first alert digest alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydfspdltcnrecipientscnfcacafalfbeguillermo rj first alert dataminr eveni...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft smoke cloud fire ...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalfbeguillermo ft tornado move near w...,"This topic appears to be about 25_walmart_clinton md_branch_clinton. The documents in this topic are grouped together because they frequently contain words and phrases like walmart, clinton md, branch, clinton, branch avenue clinton. These terms suggest a common theme or subject matter across the documents.",Topic 25: 25_walmart_clinton md_branch_clinton
26,26_denver_denver airport_denver airport colorado_airport colorado,50,0.04%,"denver, denver airport, denver airport colorado, airport colorado, airport, colorado, denver international, denver international airport, denver co, denver co usa",message sent subject first alert urgent alertdataminrcomj rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsfbeguillermo ft possible security breach...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsfbeguillermo ft operation resume s...; message sent subject first alert urgent update alertdataminrcom rivera guillermo mpd oexchangelabsouexchange administrative group fydibonfspdltcnrecipientscnfcacafalsofbeguillermo ft united airline fl...,"This topic appears to be about 26_denver_denver airport_denver airport colorado_airport colorado. The documents in this topic are grouped together because they frequently contain words and phrases like denver, denver airport, denver airport colorado, airport colorado, airport. These terms suggest a common theme or subject matter across the documents.",Topic 26: 26_denver_denver airport_denver airport colorado_airport colorado
27,27_lebanon_beirut_beirut lebanon_hezbollah,50,0.04%,"lebanon, beirut, beirut lebanon, hezbollah, lebanese, lebanon local, khalde, khalde lebanon, beirut lebanon local, tayouneh",message sent subject first alert urgent alertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj u treasury sanction ...; message sent subject first alert urgent ealertdataminrcomj pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo r u treasury sanction ...; message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspoltcnrecipientscnfcacafalsofbeguillermo ft u secretary st...,"This topic appears to be about 27_lebanon_beirut_beirut lebanon_hezbollah. The documents in this topic are grouped together because they frequently contain words and phrases like lebanon, beirut, beirut lebanon, hezbollah, lebanese. These terms suggest a common theme or subject matter across the documents.",Topic 27: 27_lebanon_beirut_beirut lebanon_hezbollah
28,28_blue origin_origin_blue_launch,49,0.04%,"blue origin, origin, blue, launch, new shepard, shepard, van horn, horn tx, van horn tx, horn",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo ft blue origin ne...; message sent subject first alert urgent update alertdataminrcom pm redacted ettgiql oexchangelabsouexchange administrative group blue origin new shepard n launch launch site one near van horn tx jonat...; message sent subject first alert urgent update alertdataminrcom pm ennis ralph mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnbaedefaaadfccdralph ennis blue origin new she...,"This topic appears to be about 28_blue origin_origin_blue_launch. The documents in this topic are grouped together because they frequently contain words and phrases like blue origin, origin, blue, launch, new shepard. These terms suggest a common theme or subject matter across the documents.",Topic 28: 28_blue origin_origin_blue_launch
29,29_iron dome_dome_iron_israeli,49,0.04%,"iron dome, dome, iron, israeli, israeli iron dome, israeli iron, lapid, dome missile defense, dome missile, iron dome missile",message sent subject first alert urgent update alertdataminrcom pm rivera guillermo mpd oexchangelabsouexchange administrative group fydibohfspdltcnrecipientscnfcacafalsofbeguillermo rj u senator rick...; message sent subject first alert urgent update alertdataminrcom pm redacted oexchangelabsouexchange administrative group u senator rick scott say allow final vote omnibus bill happen thursday night ma...; message sent subject first alert urgent update alertdataminrcom pm uredactedj iliactegt oexchangelabsouexchange administrative group intrfkaffeir u senator rick scott say allow final vote omnibus bill...,"This topic appears to be about 29_iron dome_dome_iron_israeli. The documents in this topic are grouped together because they frequently contain words and phrases like iron dome, dome, iron, israeli, israeli iron dome. These terms suggest a common theme or subject matter across the documents.",Topic 29: 29_iron dome_dome_iron_israeli
